Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Shipping Profile Id,Product Sales Channel 1,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,mens-elmntl-lbr-backpack-b09f35y815,Mens ELMNTL - LBR BACKPACK,Nike,Mens ELMNTL - LBR BACKPACK by Nike. Category: New season. Rated 4.6 stars. Shop: https://www.amazon.ae/dp/B09F35Y8,published,https://m.media-amazon.com/images/I/61OkQHiZOnL._AC_UL320_.jpg,500,,,,,,,Nike,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEZEPR0EFNQW1495TTRH,TRUE,B09F35Y815,,Mens ELMNTL - LBR BACKPACK,B09F35Y815,B09F35Y815,FALSE,TRUE,500,,,,,,,Nike,109.48,119.00,Variant,Default,https://m.media-amazon.com/images/I/61OkQHiZOnL._AC_UL320_.jpg,
,jansport-big-student-gro-er-rucksack-15-inch-laptopfach-b08yrx1pf2,"JanSport BIG STUDENT Großer Rucksack, 15 inch -Laptopfach",,"JanSport BIG STUDENT Großer Rucksack, 15 inch -Laptopfach by JANSPORT. Category: New season. Rated 4.6 stars. Shop: https://www.amazon.ae/dp/B08YRX1PF",published,https://m.media-amazon.com/images/I/61pIosB5rHL._AC_UL320_.jpg,500,,,,,,,,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEKMA64HT1R1VXP1ZGQ4,TRUE,B08YRX1PF2,,"JanSport BIG STUDENT Großer Rucksack, 15 inch -Laptopfach",B08YRX1PF2,B08YRX1PF2,FALSE,TRUE,500,,,,,,,,113.94,123.85,Variant,Default,https://m.media-amazon.com/images/I/61pIosB5rHL._AC_UL320_.jpg,
,gym-bag-for-women-men-with-shoe-compartment-sport-duffel-bag-waterproof-travel-weekender-overnight-carry-on-bag-for-yoga-with-trolley-sleeve-black-a-black-shoe-compartment-b0c8tj79fm,"Gym Bag for Women Men with Shoe Compartment, Sport Duffel Bag, Waterproof Travel Weekender Overnight Carry on Bag for Yoga with Trolley Sleeve, Black, A-Black, Shoe Compartment",livbote,"Gym Bag for Women Men with Shoe Compartment, Sport Duffel Bag, Waterproof Travel Weekender Overnight Carry on Bag for Yoga with Trolley Sleeve, Black, A-Black, Shoe Compartment by livbote. Category: New season. Rated 4.5 stars. Shop: https://www.amazon.ae/dp/B0C8TJ79FM",published,https://m.media-amazon.com/images/I/71G56RIbyGL._AC_UL320_.jpg,500,,,,,,,livbote,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HF1D619TAT6ZV635DF6V,TRUE,B0C8TJ79FM,,"Gym Bag for Women Men with Shoe Compartment, Sport Duffel Bag, Waterproof Travel Weekender Overnight Carry on Bag for Yoga with Trolley Sleeve, Black, A-Black, Shoe Compartment",B0C8TJ79FM,B0C8TJ79FM,FALSE,TRUE,500,,,,,,,livbote,34.87,37.90,Variant,Default,https://m.media-amazon.com/images/I/71G56RIbyGL._AC_UL320_.jpg,
,unisex-power-backpack-backpack-b09n2ndn9v,unisex Power Backpack BACKPACK,adidas,unisex Power Backpack BACKPACK by adidas. Category: New season. Rated 4.6 stars. Shop: https://www.amazon.ae/dp/B09N2NDN9V,published,https://m.media-amazon.com/images/I/91fV9nyuv7L._AC_UL320_.jpg,500,,,,,,,adidas,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEVEYTDX8GM0ND0V5ZMQ,TRUE,B09N2NDN9V,,unisex Power Backpack BACKPACK,B09N2NDN9V,B09N2NDN9V,FALSE,TRUE,500,,,,,,,adidas,80.18,87.15,Variant,Default,https://m.media-amazon.com/images/I/91fV9nyuv7L._AC_UL320_.jpg,
,nk-brsla-xs-duff-9-5-25l-b09nygysm7,NK BRSLA XS DUFF - 9.5 (25L),Nike,NK BRSLA XS DUFF - 9.5 (25L) by Nike. Category: New season. Rated 4.7 stars. Shop: https://www.amazon.ae/dp/B09NYGYSM7,published,https://m.media-amazon.com/images/I/81E3Y3wxgxL._AC_UL320_.jpg,500,,,,,,,Nike,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEZEPR0EFNQW1495TTRH,TRUE,B09NYGYSM7,,NK BRSLA XS DUFF - 9.5 (25L),B09NYGYSM7,B09NYGYSM7,FALSE,TRUE,500,,,,,,,Nike,100.28,109.00,Variant,Default,https://m.media-amazon.com/images/I/81E3Y3wxgxL._AC_UL320_.jpg,
,unisex-big-student-big-student-b08yrydxyb,Unisex Big Student Big Student,,Unisex Big Student Big Student by JANSPORT. Category: New season. Rated 4.6 stars. Shop: https://www.amazon.ae/dp/B08YRYDXYB,published,https://m.media-amazon.com/images/I/510wZIlA3rL._AC_UL320_.jpg,500,,,,,,,,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEKMA64HT1R1VXP1ZGQ4,TRUE,B08YRYDXYB,,Unisex Big Student Big Student,B08YRYDXYB,B08YRYDXYB,FALSE,TRUE,500,,,,,,,,173.88,189.00,Variant,Default,https://m.media-amazon.com/images/I/510wZIlA3rL._AC_UL320_.jpg,
,white-shoe-cleaner-new-multi-functional-cleaning-and-stain-removal-cream-white-shoes-cleaner-multipurpose-cleaning-cream-all-purpose-rinse-free-cleaning-cream-1pc-with-sponge-b0fjffy9d1,"White Shoe Cleaner,New Multi-functional Cleaning and Stain Removal Cream,White Shoes Cleaner, Multipurpose Cleaning Cream,All-Purpose Rinse-Free Cleaning Cream-1pc with Sponge",McMola,"White Shoe Cleaner,New Multi-functional Cleaning and Stain Removal Cream,White Shoes Cleaner, Multipurpose Cleaning Cream,All-Purpose Rinse-Free Cleaning Cream-1pc with Sponge by McMola. Category: New season. Shop: https://www.amazon.ae/dp/B0FJFFY9D",published,https://m.media-amazon.com/images/I/61XpSfqPWvL._AC_UL320_.jpg,500,,,,,,,McMola,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HF3EJ5CT415TZEPX1711,TRUE,B0FJFFY9D1,,"White Shoe Cleaner,New Multi-functional Cleaning and Stain Removal Cream,White Shoes Cleaner, Multipurpose Cleaning Cream,All-Purpose Rinse-Free Cleaning Cream-1pc with Sponge",B0FJFFY9D1,B0FJFFY9D1,FALSE,TRUE,500,,,,,,,McMola,8.27,8.99,Variant,Default,https://m.media-amazon.com/images/I/61XpSfqPWvL._AC_UL320_.jpg,
,blue-light-blocking-glasses-photochromic-lens-sunglasses-anti-eyestrain-and-uva-uvb-for-women-and-men-b07drhg6xt,Blue Light Blocking Glasses Photochromic Lens Sunglasses Anti Eyestrain and UVA/UVB for Women and Men,TIJN,Blue Light Blocking Glasses Photochromic Lens Sunglasses Anti Eyestrain and UVA/UVB for Women and Men by TIJN. Category: New season. Rated 4.3 stars. Shop: https://www.amazon.ae/dp/B07DRHG6XT,published,https://m.media-amazon.com/images/I/61TnSoBdnNL._AC_UL320_.jpg,500,,,,,,,TIJN,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HF5EAAKV89BMCZRB7W8R,TRUE,B07DRHG6XT,,Blue Light Blocking Glasses Photochromic Lens Sunglasses Anti Eyestrain and UVA/UVB for Women and Men,B07DRHG6XT,B07DRHG6XT,FALSE,TRUE,500,,,,,,,TIJN,22.72,24.70,Variant,Default,https://m.media-amazon.com/images/I/61TnSoBdnNL._AC_UL320_.jpg,
,unisex-elmntl-hbr-backpack-b0dtz4jkgh,Unisex ELMNTL - HBR BACKPACK,Nike,Unisex ELMNTL - HBR BACKPACK by Nike. Category: New season. Rated 5.0 stars. Shop: https://www.amazon.ae/dp/B0DTZ4JKGH,published,https://m.media-amazon.com/images/I/71W9XnuJoHL._AC_UL320_.jpg,500,,,,,,,Nike,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEZEPR0EFNQW1495TTRH,TRUE,B0DTZ4JKGH,,Unisex ELMNTL - HBR BACKPACK,B0DTZ4JKGH,B0DTZ4JKGH,FALSE,TRUE,500,,,,,,,Nike,125.12,136.00,Variant,Default,https://m.media-amazon.com/images/I/71W9XnuJoHL._AC_UL320_.jpg,
,ultimate-scuff-eraser-sneaker-cleaner-for-suede-and-nubuck-shoes-b0774xp86b,Ultimate Scuff Eraser - Sneaker Cleaner for Suede and Nubuck Shoes,Crep Protect,Ultimate Scuff Eraser - Sneaker Cleaner for Suede and Nubuck Shoes by Crep Protect. Category: New season. Rated 4.2 stars. Shop: https://www.amazon.ae/dp/B0774XP86B,published,https://m.media-amazon.com/images/I/71xd1y8Y50L._AC_UL320_.jpg,500,,,,,,,Crep Protect,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HF7DGWF1P9ZGKGWKF3N6,TRUE,B0774XP86B,,Ultimate Scuff Eraser - Sneaker Cleaner for Suede and Nubuck Shoes,B0774XP86B,B0774XP86B,FALSE,TRUE,500,,,,,,,Crep Protect,45.08,49.00,Variant,Default,https://m.media-amazon.com/images/I/71xd1y8Y50L._AC_UL320_.jpg,
,unisex-classic-badge-of-sport-backpack-backpack-b09n2nj73c,unisex Classic Badge of Sport Backpack BACKPACK,adidas,unisex Classic Badge of Sport Backpack BACKPACK by adidas. Category: New season. Rated 4.5 stars. Shop: https://www.amazon.ae/dp/B09N2NJ73C,published,https://m.media-amazon.com/images/I/81YzIPs6IDL._AC_UL320_.jpg,500,,,,,,,adidas,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEVEYTDX8GM0ND0V5ZMQ,TRUE,B09N2NJ73C,,unisex Classic Badge of Sport Backpack BACKPACK,B09N2NJ73C,B09N2NJ73C,FALSE,TRUE,500,,,,,,,adidas,60.72,66.00,Variant,Default,https://m.media-amazon.com/images/I/81YzIPs6IDL._AC_UL320_.jpg,
,men-s-dress-socks-5-pairs-mens-cotton-calf-business-formal-soft-breathable-long-crew-casual-socks-b0bw4lkct5,Men's Dress Socks 5 Pairs Mens Cotton Calf Business Formal Soft Breathable Long Crew Casual Socks,PUJANE,Men's Dress Socks 5 Pairs Mens Cotton Calf Business Formal Soft Breathable Long Crew Casual Socks by PUJANE. Category: New season. Rated 4.4 stars. Shop: https://www.amazon.ae/dp/B0BW4LKCT,published,https://m.media-amazon.com/images/I/51PVatBRLFL._AC_UL320_.jpg,500,,,,,,,PUJANE,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HF98D1R67VKMF7V7AWTD,TRUE,B0BW4LKCT5,,Men's Dress Socks 5 Pairs Mens Cotton Calf Business Formal Soft Breathable Long Crew Casual Socks,B0BW4LKCT5,B0BW4LKCT5,FALSE,TRUE,500,,,,,,,PUJANE,45.99,49.99,Variant,Default,https://m.media-amazon.com/images/I/51PVatBRLFL._AC_UL320_.jpg,
,unisex-large-accesssory-pouch-accessories-b0drh43g9w,Unisex Large Accesssory Pouch Accessories,,Unisex Large Accesssory Pouch Accessories by JANSPORT. Category: New season. Shop: https://www.amazon.ae/dp/B0DRH43G9W,published,https://m.media-amazon.com/images/I/71giCaqbZQL._AC_UL320_.jpg,500,,,,,,,,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEKMA64HT1R1VXP1ZGQ4,TRUE,B0DRH43G9W,,Unisex Large Accesssory Pouch Accessories,B0DRH43G9W,B0DRH43G9W,FALSE,TRUE,500,,,,,,,,51.52,56.00,Variant,Default,https://m.media-amazon.com/images/I/71giCaqbZQL._AC_UL320_.jpg,
,35l-travel-backpack-flight-approved-carry-on-backpack-for-international-travel-bag-water-resistant-durable-17-inch-laptop-backpacks-large-daypack-business-weekender-luggage-backpack-for-men-women-b07w75ntvr,"35L Travel Backpack,Flight Approved Carry On Backpack for International Travel Bag, Water Resistant Durable 17-inch Laptop Backpacks,Large Daypack Business Weekender Luggage Backpack for Men Women",BANGE,"35L Travel Backpack,Flight Approved Carry On Backpack for International Travel Bag, Water Resistant Durable 17-inch Laptop Backpacks,Large Daypack Business Weekender Luggage Backpack for Men Women by BANGE. Category: New season. Rated 4.5 stars. Shop: https://www.amazon.ae/dp/B07W75NTVR",published,https://m.media-amazon.com/images/I/71CNbs4-ukL._AC_UL320_.jpg,500,,,,,,,BANGE,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HFB5MEEZYEVBZA3RGSS0,TRUE,B07W75NTVR,,"35L Travel Backpack,Flight Approved Carry On Backpack for International Travel Bag, Water Resistant Durable 17-inch Laptop Backpacks,Large Daypack Business Weekender Luggage Backpack for Men Women",B07W75NTVR,B07W75NTVR,FALSE,TRUE,500,,,,,,,BANGE,124.20,135.00,Variant,Default,https://m.media-amazon.com/images/I/71CNbs4-ukL._AC_UL320_.jpg,
,makeup-bag-portable-cosmetic-bag-large-capacity-travel-makeup-case-organizer-black-makeup-bags-for-women-toiletry-bag-for-girls-traveling-with-handle-and-divider-b09m6k1xd8,"Makeup Bag, Portable Cosmetic Bag, Large Capacity Travel Makeup Case Organizer, Black Makeup Bags For Women Toiletry Bag for Girls Traveling With Handle and Divider",OCHEAL,"Makeup Bag, Portable Cosmetic Bag, Large Capacity Travel Makeup Case Organizer, Black Makeup Bags For Women Toiletry Bag for Girls Traveling With Handle and Divider by OCHEAL. Category: New season. Rated 4.7 stars. Shop: https://www.amazon.ae/dp/B09M6K1XD8",published,https://m.media-amazon.com/images/I/71MRp+xH+6L._AC_UL320_.jpg,500,,,,,,,OCHEAL,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HFD6RQY44ET9MC9K02CF,TRUE,B09M6K1XD8,,"Makeup Bag, Portable Cosmetic Bag, Large Capacity Travel Makeup Case Organizer, Black Makeup Bags For Women Toiletry Bag for Girls Traveling With Handle and Divider",B09M6K1XD8,B09M6K1XD8,FALSE,TRUE,500,,,,,,,OCHEAL,36.70,39.89,Variant,Default,https://m.media-amazon.com/images/I/71MRp+xH+6L._AC_UL320_.jpg,
,bgs-assert-10-ufm-syn-boys-shoes-b0c7852z79,Bgs Assert 10 Ufm Syn boys Shoes,Under Armour,Bgs Assert 10 Ufm Syn boys Shoes by Under Armour. Category: New season. Rated 4.4 stars. Shop: https://www.amazon.ae/dp/B0C7852Z79,published,https://m.media-amazon.com/images/I/51LaOfAz70L._AC_UL320_.jpg,500,,,,,,,Under Armour,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HFF7RAYGFAQTPC65C5T1,TRUE,B0C7852Z79,,Bgs Assert 10 Ufm Syn boys Shoes,B0C7852Z79,B0C7852Z79,FALSE,TRUE,500,,,,,,,Under Armour,98.71,107.29,Variant,Default,https://m.media-amazon.com/images/I/51LaOfAz70L._AC_UL320_.jpg,
,unisex-adult-union-pack-backpack-b08y2j5fpd,unisex-adult Union Pack Backpack,,unisex-adult Union Pack Backpack by JANSPORT. Category: New season. Rated 4.7 stars. Shop: https://www.amazon.ae/dp/B08Y2J5FPD,published,https://m.media-amazon.com/images/I/412mrx4xnwL._AC_UL320_.jpg,500,,,,,,,,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEKMA64HT1R1VXP1ZGQ4,TRUE,B08Y2J5FPD,,unisex-adult Union Pack Backpack,B08Y2J5FPD,B08Y2J5FPD,FALSE,TRUE,500,,,,,,,,118.68,129.00,Variant,Default,https://m.media-amazon.com/images/I/412mrx4xnwL._AC_UL320_.jpg,
,unisex-elmntl-prm-backpack-b0b85kkc3x,Unisex ELMNTL PRM BACKPACK,Nike,Unisex ELMNTL PRM BACKPACK by Nike. Category: New season. Rated 4.6 stars. Shop: https://www.amazon.ae/dp/B0B85KKC3X,published,https://m.media-amazon.com/images/I/61qm+WptkdL._AC_UL320_.jpg,500,,,,,,,Nike,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEZEPR0EFNQW1495TTRH,TRUE,B0B85KKC3X,,Unisex ELMNTL PRM BACKPACK,B0B85KKC3X,B0B85KKC3X,FALSE,TRUE,500,,,,,,,Nike,0.00,0.00,Variant,Default,https://m.media-amazon.com/images/I/61qm+WptkdL._AC_UL320_.jpg,
,unisex-adult-backpack-with-pencil-case-backpack-b0dmypb8pk,unisex-adult Backpack With Pencil Case Backpack,adidas,unisex-adult Backpack With Pencil Case Backpack by adidas. Category: New season. Rated 4.6 stars. Shop: https://www.amazon.ae/dp/B0DMYPB8PK,published,https://m.media-amazon.com/images/I/71V-mL+A8AL._AC_UL320_.jpg,500,,,,,,,adidas,default,sc_01KCBH6HGXQJG2T09NAZZN0SRC,,ptyp_01KCC4NMFYBGMVP5P9JZ220VX2,ptag_01KCC4HEVEYTDX8GM0ND0V5ZMQ,TRUE,B0DMYPB8PK,,unisex-adult Backpack With Pencil Case Backpack,B0DMYPB8PK,B0DMYPB8PK,FALSE,TRUE,500,,,,,,,adidas,92.00,100.00,Variant,Default,https://m.media-amazon.com/images/I/71V-mL+A8AL._AC_UL320_.jpg,
